,O*NET-SOC Code,Title,AISE,complementarity,job zone,robotic
0,11-1011.00,Chief Executives,0.0354906054279749,0.7316666666666667,5.0,0.0238095238095238
1,11-1011.03,Chief Sustainability Officers,0.0835073068893528,0.6233333333333334,5.0,0.0952380952380952
2,11-1021.00,General and Operations Managers,0.2995824634655532,0.7075,4.0,0.369047619047619
3,11-1031.00,Legislators,0.0093945720250521,,,0.0
4,11-2011.00,Advertising and Promotions Managers,0.5835073068893528,0.5991666666666666,4.0,0.4880952380952381
5,11-2021.00,Marketing Managers,0.5146137787056367,0.6113888888888889,4.0,0.3571428571428571
6,11-2022.00,Sales Managers,0.5751565762004175,0.5675,4.0,0.7857142857142857
7,11-2032.00,Public Relations Managers,0.4665970772442588,,,0.238095238095238
8,11-2033.00,Fundraising Managers,0.1137787056367432,,,0.0595238095238095
9,11-3012.00,Administrative Services Managers,0.6774530271398748,0.585,3.0,0.5357142857142857
10,11-3013.00,Facilities Managers,0.1210855949895615,,,0.4404761904761904
11,11-3013.01,Security Managers,0.0626304801670146,,,0.25
12,11-3021.00,Computer and Information Systems Managers,0.9029227557411272,0.6211111111111112,4.0,0.7380952380952381
13,11-3031.00,Financial Managers,0.2453027139874739,0.635,4.0,0.1547619047619047
14,11-3031.01,Treasurers and Controllers,0.1471816283924843,0.5897222222222223,4.0,0.119047619047619
15,11-3031.03,Investment Fund Managers,0.0668058455114822,0.6263888888888889,5.0,0.0357142857142857
16,11-3051.00,Industrial Production Managers,0.2536534446764092,0.69,4.0,0.6904761904761905
17,11-3051.01,Quality Control Systems Managers,0.6085594989561587,0.6525,4.0,0.7380952380952381
18,11-3051.02,Geothermal Production Managers,0.0167014613778705,0.7280555555555556,3.0,0.0833333333333333
19,11-3051.03,Biofuels Production Managers,0.1116910229645093,0.7663888888888889,4.0,0.2738095238095238
20,11-3051.04,Biomass Power Plant Managers,0.0260960334029227,0.7608333333333333,4.0,0.1785714285714285
21,11-3051.06,Hydroelectric Production Managers,0.0260960334029227,0.7080555555555555,3.0,0.1547619047619047
22,11-3061.00,Purchasing Managers,0.4540709812108559,0.5975,4.0,0.5476190476190477
23,11-3071.00,"Transportation, Storage, and Distribution Managers",0.2442588726513569,0.6619444444444444,4.0,0.6309523809523809
24,11-3071.04,Supply Chain Managers,0.5709812108559499,0.641388888888889,4.0,0.9404761904761904
25,11-3111.00,Compensation and Benefits Managers,0.1325678496868476,0.5697222222222222,4.0,0.1309523809523809
26,11-3121.00,Human Resources Managers,0.3643006263048016,0.6394444444444445,4.0,0.2619047619047619
27,11-3131.00,Training and Development Managers,0.3924843423799583,0.5822222222222223,4.0,0.3571428571428571
28,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.0177453027139874,0.7025,4.0,0.1666666666666666
29,11-9021.00,Construction Managers,0.0605427974947807,0.7244444444444444,4.0,0.3095238095238095
30,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.0553235908141962,0.7075,4.0,0.0595238095238095
31,11-9032.00,"Education Administrators, Kindergarten through Secondary",0.0553235908141962,0.7347222222222222,5.0,0.0476190476190476
32,11-9033.00,"Education Administrators, Postsecondary",0.1534446764091858,0.6477777777777779,5.0,0.119047619047619
