,job description,startup description,label,justification
0,"Assist patients in obtaining services, understanding policies and making health care decisions.","Labelf AI is a no code tool that allows anyone, in any language, to create text classification AILabelf AI aims to let anyone, no matter previous knowledge, create and use AI text classification models. We use an advanced approach to active learning to accelerate training on both labeled and unlabeled data in any language. Can also be used for data analysis and will hook into most Customer support systems. Can be used for Document Classification, Automated Product Tagging, Automatic Support Ticket Tagging, Chat and Forum Moderation, Social Listening, Survey Analysis, Sales Stage Identification, Finding Sales leads and much more!",False,No-code text classification tool; not patient navigation.
1,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Gideon Brothers specializes in the flexible automation of horizontal and vertical material handling processes for logistics, warehousing, manufacturing, and retail businesses. 
Our self-driving robots are powered by our proprietary spatial AI and 3D vision technology, enabling our customers to automate and orchestrate the workflows of humans, robots, other equipment, and data sources in real-time to achieve higher throughput.Our self-driving robots are powered by our proprietary spatial AI and 3D vision technology, enabling our customers to automate and orchestrate the workflows of humans, robots, other equipment, and data sources in real-time to achieve higher throughput. 
Gideon Brothers specializes in the flexible automation of horizontal and vertical material handling processes for logistics, warehousing, manufacturing, and retail businesses.
Our self-driving robots are powered by our proprietary spatial AI and 3D vision technology, enabling our customers to automate and orchestrate the workflows of humans, robots, other equipment, and data sources in real-time to achieve higher throughput.  We are one of a handful of AMR companies that focuses on stereo vision and 3D sensing to help our robots navigate. Being vision-centric, we do not only use LiDAR but instead focus on a stereoscopic camera solution. This means that our robots can map out an environment in a3D, not require any external infrastructure, and can use semantic modeling to understand the environment at the level of specific objects.",True,AMRs + orchestration of human/robot workflows—core logistics/warehouse operations.
2,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","filancore`s mission is to help organizations safeguard their digital business and assets in terms of a fully networked device and machine economy, called the internet of things (IoT). Therefore they are building industry software based on Distributed Ledger Technology. filancore's Identity Gateway is an Identity as a Service solution that provides: the highest security and privacy, fast, trusted interactions between boundaries, real scalability, and convenient management.",True,filancore provides IoT identity/ledger tech; directly relevant to securing device identity and trust on IoT networks.
3,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.","At Suplient, we’re revolutionizing the coaching and psychotherapy landscape.",False,"Suplient provides AI for coaching and psychotherapy, not for laboratory chemical or biological research on cells or metabolism."
4,Control or operate entire chemical processes or system of machines.,"Claimsforce is a SaaS-based technology platform that uses AI and machine learning to provide insurers and third-party administrators with an end-to-end claims management platform that is more time-efficient, price accurate, and customer-focused than legacy claims systems. In an industry where first and second-generation legacy technology can often mean outdated and cumbersome claims processing, Claimsforce uses AI-based regulation control and increased data points to assess the damage, analyze the claim, and settle quickly. The platform improves the overall efficiency of claims settlements, lowers claims costs, and tracks customer satisfaction through NPS audits.",False,"Claimsforce builds AI for insurance claims management, unrelated to industrial chemical process control or machine operation."
5,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.","Grasp's ai assistant simplifies the lives of finance workers by automating research tasks. Building the intelligence to find and understand every company in the world. Humans can only accomplish so much. But through AI, we can scale intelligence infinitely.",False,Grasp is an AI assistant for finance. Not relevant to fitness.
6,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.",Built AI helps real estate professionals analyze commercial property opportunities faster and better. Empowering the commercial property world to make the best data driven investment decisions.,True,Built AI targets commercial property underwriting/analysis directly.
7,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Is an advanced digitalization platform designed to effortlessly automate boring and time-wasting processes, eliminating restrictive platform lock-ins.",False,"This is a general digitalization platform for automating processes; it does not provide tools or content relevant to teaching drama, music, fine arts, or design."
8,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",INDIENOV (commercial brand of HIPPY MS) designs and develops medical devices based on built-in electronics and artificial intelligence in order to extend the quality of life and independence of elderly people.,False,INDIENOV develops medical devices using AI to aid elderly independence; it has no relevance to teaching or arts instruction.
9,"Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.","Case Law Analytics is a French startup that uses Artificial intelligence to  quantify of legal risk. The company models the judicial decision process to present you the whole decisions that would be made on a given file. They are based in Paris, France.",True,"Case Law Analytics models judicial decision processes and quantifies legal risk, aiding judges or clerks with precedent and outcome analysis."
10,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","AI-based robots that automatically and independently inspected. Spray an orchard for producer groups, farmers, greenhouses, and agronomists to reduce money waste, chemical usage and grow healthy fruits with high financial profit. Fruits as natural as primal fruit | with robotics and computer vision",True,AI robots for orchard spraying directly automate pesticide application tasks.
